what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"4",1496918181966
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1496918181966
java.runtime.version,sysinfo,,,"1.7.0_80-b15",1496918181966
java.specification.name,sysinfo,,,"Java Platform API Specification",1496918181966
java.specification.vendor,sysinfo,,,"Oracle Corporation",1496918181966
java.specification.version,sysinfo,,,"1.7",1496918181966
java.vendor,sysinfo,,,"Oracle Corporation",1496918181966
java.version,sysinfo,,,"1.7.0_80",1496918181966
java.vm.info,sysinfo,,,"mixed mode, sharing",1496918181966
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1496918181966
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1496918181966
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1496918181966
java.vm.specification.version,sysinfo,,,"1.7",1496918181966
java.vm.vendor,sysinfo,,,"Oracle Corporation",1496918181966
java.vm.version,sysinfo,,,"24.80-b11",1496918181966
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1496918183169
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1496918184341
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1496918184482
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1496918184544
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1496918184544
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1496918184685
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1496918184826
started,bundle,com.android.ide.eclipse.adt,23.0.0.1245622,"com.android.ide.eclipse.adt",1496918184997
started,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1496918186341
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1496918186622
started,bundle,org.eclipse.wst.dtd.core,1.1.501.v201107252021,"org.eclipse.wst.dtd.core",1496918188672
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1496918188889
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1496918188889
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1496918189030
started,bundle,org.eclipse.jst.jsf.common,1.2.3.v201104061039,"org.eclipse.jst.jsf.common",1496918189170
started,bundle,org.eclipse.jst.jsf.core,1.3.105.v201108261005,"org.eclipse.jst.jsf.core",1496918189202
started,bundle,org.eclipse.jst.jsp.core,1.2.402.v201112071853,"org.eclipse.jst.jsp.core",1496918189671
started,bundle,org.eclipse.wst.wsdl.validation,1.1.502.v201104071820,"org.eclipse.wst.wsdl.validation",1496918189999
started,bundle,org.eclipse.wst.xsd.core,1.1.600.v201104070312,"org.eclipse.wst.xsd.core",1496918190077
started,bundle,org.eclipse.wst.xsl.core,1.1.100.v201102270516,"org.eclipse.wst.xsl.core",1496918190186
started,bundle,org.eclipse.jst.servlet.ui,1.1.501.v201108220630,"org.eclipse.jst.servlet.ui",1496918191342
started,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1496918192007
started,bundle,org.eclipse.cdt.codan.core,2.0.0.201202111925,"org.eclipse.cdt.codan.core",1496918192101
