127.0.0.1 - - [28/Nov/2015:16:14:16 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:14:17 +0530] "GET /CenteralServer/ HTTP/1.1" 200 1403
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:14:17 +0530] "GET /CenteralServer/gallery.css HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:14:17 +0530] "GET /CenteralServer/theme/images/main-image-bg.jpg HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:14:24 +0530] "GET /CenteralServer/ HTTP/1.1" 200 1403
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:14:24 +0530] "GET /CenteralServer/gallery.css HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:14:24 +0530] "GET /CenteralServer/theme/style.css HTTP/1.1" 200 8680
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:14:24 +0530] "GET /CenteralServer/theme/images/main-image-bg.jpg HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:14:24 +0530] "GET /CenteralServer/theme/images/large%20gears.gif HTTP/1.1" 200 144636
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:14:24 +0530] "GET /CenteralServer/theme/images/main-bg.jpg HTTP/1.1" 200 17155
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:14:24 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:14:24 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:14:27 +0530] "POST /CenteralServer/ HTTP/1.1" 200 1494
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:14:27 +0530] "GET /CenteralServer/gallery.css HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:14:27 +0530] "GET /CenteralServer/theme/images/main-image-bg.jpg HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:14:28 +0530] "GET /CenteralServer/pages/vehicle.jsp HTTP/1.1" 200 12842
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:14:28 +0530] "GET /CenteralServer/theme/images/main-image-bg.jpg HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:14:28 +0530] "GET /CenteralServer/theme/images/car.png HTTP/1.1" 200 46535
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:15:05 +0530] "GET /CenteralServer/pages/upload.jsp HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:15:05 +0530] "GET /CenteralServer/jquery.autocomplete-1.1.3/jquery-1.7.2.js HTTP/1.1" 200 252881
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:15:05 +0530] "GET /CenteralServer/pages/gallery.css HTTP/1.1" 404 1015
0:0:0:0:0:0:0:1 - - [28/Nov/2015:16:15:05 +0530] "GET /CenteralServer/theme/images/main-image-bg.jpg HTTP/1.1" 404 1041
