127.0.0.1 - - [13/Feb/2016:18:48:51 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [13/Feb/2016:18:48:53 +0530] "GET /CenteralServer/ HTTP/1.1" 200 1403
0:0:0:0:0:0:0:1 - - [13/Feb/2016:18:48:53 +0530] "GET /CenteralServer/gallery.css HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [13/Feb/2016:18:48:53 +0530] "GET /CenteralServer/theme/style.css HTTP/1.1" 200 8680
0:0:0:0:0:0:0:1 - - [13/Feb/2016:18:48:53 +0530] "GET /CenteralServer/theme/images/large%20gears.gif HTTP/1.1" 200 144636
0:0:0:0:0:0:0:1 - - [13/Feb/2016:18:48:53 +0530] "GET /CenteralServer/theme/images/main-image-bg.jpg HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [13/Feb/2016:18:48:54 +0530] "GET /CenteralServer/theme/images/main-bg.jpg HTTP/1.1" 200 17155
0:0:0:0:0:0:0:1 - - [13/Feb/2016:18:49:01 +0530] "GET /CenteralServer/ HTTP/1.1" 200 1403
0:0:0:0:0:0:0:1 - - [13/Feb/2016:18:49:01 +0530] "GET /CenteralServer/theme/style.css HTTP/1.1" 200 8680
0:0:0:0:0:0:0:1 - - [13/Feb/2016:18:49:01 +0530] "GET /CenteralServer/theme/images/large%20gears.gif HTTP/1.1" 200 144636
0:0:0:0:0:0:0:1 - - [13/Feb/2016:18:49:01 +0530] "GET /CenteralServer/gallery.css HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [13/Feb/2016:18:49:02 +0530] "GET /CenteralServer/theme/images/main-bg.jpg HTTP/1.1" 200 17155
0:0:0:0:0:0:0:1 - - [13/Feb/2016:18:49:02 +0530] "GET /CenteralServer/theme/images/main-image-bg.jpg HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [13/Feb/2016:18:49:02 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [13/Feb/2016:18:49:02 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [13/Feb/2016:18:49:05 +0530] "POST /CenteralServer/ HTTP/1.1" 200 1494
0:0:0:0:0:0:0:1 - - [13/Feb/2016:18:49:05 +0530] "GET /CenteralServer/gallery.css HTTP/1.1" 404 1003
0:0:0:0:0:0:0:1 - - [13/Feb/2016:18:49:05 +0530] "GET /CenteralServer/theme/images/main-image-bg.jpg HTTP/1.1" 404 1041
0:0:0:0:0:0:0:1 - - [13/Feb/2016:18:49:06 +0530] "GET /CenteralServer/pages/vehicle.jsp HTTP/1.1" 200 12842
0:0:0:0:0:0:0:1 - - [13/Feb/2016:18:49:06 +0530] "GET /CenteralServer/theme/images/car.png HTTP/1.1" 200 46535
